Pair,Subject,Condition(individual-pre/hidden/visible/individual-post),Block,Trial,StimulusType,TargetSize(small/large),TargetPosition(center/margin),ObstaclePresence(absent/present),Error(yes/no),TT,AUC,Asynchrony
1,1,3,5,10,221,2,2,1,0,0.4016,179.03,0.01994
1,1,3,5,11,220,2,2,0,0,0.36128,27.842,0.020008
1,1,3,5,12,120,1,2,0,0,0.42156,29.048,0.11026
1,1,3,5,13,110,1,1,0,0,0.4014,44.128,0.039854
1,1,3,5,14,210,2,1,0,0,0.45144,14.908,0.029838
1,1,3,5,15,220,2,2,0,0,0.3814,24.998,0.0098111
1,1,3,5,16,111,1,1,1,0,0.48161,158.31,0.00015246
1,1,3,6,1,111,1,1,1,0,0.41132,203.51,0.70258
1,1,3,6,2,221,2,2,1,0,0.43145,201.94,0.040639
1,1,3,6,3,110,1,1,0,0,0.39152,30.648,0.44183
1,1,3,6,4,220,2,2,0,0,0.35195,42.867,0.040699
1,1,3,6,5,210,2,1,0,0,0.33123,39.487,0.1306
1,1,3,6,6,210,2,1,0,0,0.41132,28.563,0.059892
1,1,3,6,7,211,2,1,1,0,0.55206,214.2,0.059986
1,1,3,6,8,120,1,2,0,0,0.40111,11.103,0.0094768
1,1,3,6,9,220,2,2,0,0,0.25108,73.881,0.11062
1,1,3,6,10,121,1,2,1,0,0.5117,216.79,0.11005
1,1,3,6,11,111,1,1,1,0,0.39216,213.75,0.019561
1,1,3,6,12,110,1,1,0,0,0.31128,59.69,0.1606
1,1,3,6,13,121,1,2,1,0,0.3212,240.85,0.070481
1,1,3,6,14,120,1,2,0,0,0.30097,22.52,0.040967
1,1,3,6,15,211,2,1,1,0,0.89228,147.96,0.15937
1,1,3,6,16,221,2,2,1,0,0.40141,266.57,0.070656
1,1,4,1,1,210,2,1,0,0,0.59178,34.071,-1
1,1,4,1,2,121,1,2,1,0,0.4114,148.07,-1
1,1,4,1,3,221,2,2,1,0,0.46168,294.77,-1
1,1,4,1,4,120,1,2,0,0,0.27111,46.193,-1
1,1,4,1,5,120,1,2,0,0,0.31118,6.4199,-1
1,1,4,1,6,110,1,1,0,0,0.51206,68.46,-1
1,1,4,1,7,210,2,1,0,0,0.30119,46.641,-1
1,1,4,1,8,111,1,1,1,0,0.41172,116.87,-1
1,1,4,1,9,211,2,1,1,0,0.65304,114.81,-1
1,1,4,1,10,121,1,2,1,1,0.28424,0,-1
1,1,4,1,11,220,2,2,0,0,0.29127,17.274,-1
1,1,4,1,12,110,1,1,0,0,0.31137,14.466,-1
1,1,4,1,13,220,2,2,0,0,0.44133,11.307,-1
1,1,4,1,14,221,2,2,1,0,0.39175,203.88,-1
1,1,4,1,15,211,2,1,1,0,0.57212,347.59,-1
1,1,4,1,16,111,1,1,1,0,0.49178,264.79,-1
1,1,4,2,1,121,1,2,1,0,0.42158,219.87,-1
1,1,4,2,2,120,1,2,0,0,0.2911,53.162,-1
1,1,4,2,3,210,2,1,0,0,0.31146,24.223,-1
1,1,4,2,4,121,1,2,1,0,0.42157,176.55,-1
1,1,4,2,5,120,1,2,0,0,0.25106,18.004,-1
1,1,4,2,6,221,2,2,1,0,0.39157,195.46,-1
1,1,4,2,7,210,2,1,0,0,0.31129,28.608,-1
1,1,4,2,8,110,1,1,0,0,0.3112,74.519,-1
1,1,4,2,9,110,1,1,0,0,1.0335,22.976,-1
1,1,4,2,10,111,1,1,1,0,0.50179,200.15,-1
1,1,4,2,11,211,2,1,1,0,0.4817,300.55,-1
1,1,4,2,12,211,2,1,1,0,0.48177,300.61,-1
1,1,4,2,13,220,2,2,0,0,0.34136,55.588,-1
1,1,4,2,14,220,2,2,0,0,0.39133,43.099,-1
1,1,4,2,15,221,2,2,1,0,0.38152,176.39,-1
1,1,4,2,16,111,1,1,1,0,0.41163,262.68,-1
1,1,4,3,1,221,2,2,1,0,0.71224,259.83,-1
1,1,4,3,2,211,2,1,1,0,0.75288,248.11,-1
1,1,4,3,3,120,1,2,0,0,0.28114,24.867,-1
1,1,4,3,4,121,1,2,1,0,0.44177,239.33,-1
1,1,4,3,5,120,1,2,0,0,0.31138,12.551,-1
1,1,4,3,6,211,2,1,1,0,0.32154,132.98,-1
1,1,4,3,7,220,2,2,0,0,0.35141,98.881,-1
1,1,4,3,8,121,1,2,1,0,0.44163,195.82,-1
1,1,4,3,9,210,2,1,0,0,0.55234,80.855,-1
1,1,4,3,10,110,1,1,0,0,0.5923,11.761,-1
1,1,4,3,11,210,2,1,0,0,0.38146,21.786,-1
1,1,4,3,12,221,2,2,1,0,0.4615,134.35,-1
1,1,4,3,13,111,1,1,1,0,0.39161,199.68,-1
1,1,4,3,14,110,1,1,0,0,0.27141,28.708,-1
1,1,4,3,15,111,1,1,1,0,0.49181,266.21,-1
1,1,4,3,16,220,2,2,0,0,0.35151,21.809,-1
1,1,4,4,1,111,1,1,1,0,0.40175,144.96,-1
1,1,4,4,2,111,1,1,1,0,0.50221,117.49,-1
1,1,4,4,3,121,1,2,1,0,0.4419,247.55,-1
1,1,4,4,4,221,2,2,1,0,0.88321,299.71,-1
1,1,4,4,5,110,1,1,0,0,0.60254,39.729,-1
1,1,4,4,6,120,1,2,0,0,0.38138,9.3434,-1
1,1,4,4,7,211,2,1,1,0,0.45171,169.08,-1
1,1,4,4,8,121,1,2,1,0,0.52201,264.01,-1
1,1,4,4,9,220,2,2,0,0,0.35134,12.662,-1
1,1,4,4,10,221,2,2,1,0,0.46219,227.75,-1
1,1,4,4,11,120,1,2,0,0,0.32129,9.0795,-1
1,1,4,4,12,110,1,1,0,0,0.32141,8.4442,-1
1,1,4,4,13,210,2,1,0,0,0.32149,10.174,-1
1,1,4,4,14,210,2,1,0,0,0.31163,42.635,-1
1,1,4,4,15,211,2,1,1,0,1.3538,217.99,-1
1,1,4,4,16,220,2,2,0,0,0.28119,11.75,-1
1,1,4,5,1,111,1,1,1,0,0.67191,202.51,-1
1,1,4,5,2,210,2,1,0,0,0.32133,32.836,-1
1,1,4,5,3,121,1,2,1,0,0.86306,224.12,-1
1,1,4,5,4,110,1,1,0,0,0.27118,51.253,-1
1,1,4,5,5,211,2,1,1,0,0.4927,221.62,-1
1,1,4,5,6,221,2,2,1,0,0.43171,217.49,-1
1,1,4,5,7,220,2,2,0,0,0.36138,15.643,-1
1,1,4,5,8,220,2,2,0,0,0.39141,4.6011,-1
1,1,4,5,9,121,1,2,1,0,0.46196,214.76,-1
1,1,4,5,10,110,1,1,0,0,0.27111,7.872,-1
1,1,4,5,11,221,2,2,1,0,0.49167,165.69,-1
1,1,4,5,12,210,2,1,0,0,0.40168,10.46,-1
1,1,4,5,13,120,1,2,0,0,0.37122,31.383,-1
1,1,4,5,14,211,2,1,1,1,0.35151,0,-1
1,1,4,5,15,120,1,2,0,0,0.29125,42.85,-1
1,1,4,5,16,111,1,1,1,0,0.40163,209.89,-1
1,1,4,6,1,110,1,1,0,0,0.51118,72.997,-1
1,1,4,6,2,211,2,1,1,0,0.36134,244.03,-1
1,1,4,6,3,110,1,1,0,0,0.33142,5.5498,-1
1,1,4,6,4,221,2,2,1,0,0.4215,225.21,-1
1,1,4,6,5,120,1,2,0,0,0.30119,12.064,-1
1,1,4,6,6,220,2,2,0,0,0.35149,32.244,-1
1,1,4,6,7,220,2,2,0,0,0.34138,16.547,-1
1,1,4,6,8,211,2,1,1,0,0.43171,218.36,-1
1,1,4,6,9,210,2,1,0,0,0.31117,55.434,-1
1,1,4,6,10,111,1,1,1,0,0.45194,181.27,-1
1,1,4,6,11,210,2,1,0,0,0.43148,32.096,-1
1,1,4,6,12,111,1,1,1,1,1.6038,0,-1
1,1,4,6,13,121,1,2,1,0,0.54227,244.37,-1
1,1,4,6,14,221,2,2,1,0,0.37261,140.22,-1
1,1,4,6,15,121,1,2,1,0,0.56201,223.82,-1
1,1,4,6,16,120,1,2,0,0,0.37145,5.9767,-1
1,2,1,1,1,210,2,1,0,0,0.85271,20.242,-1
1,2,1,1,2,120,1,2,0,0,0.79223,27.493,-1
1,2,1,1,3,211,2,1,1,0,0.8629,128.87,-1
1,2,1,1,4,111,1,1,1,0,0.73253,112.46,-1
1,2,1,1,5,121,1,2,1,0,0.76218,127.6,-1
1,2,1,1,6,220,2,2,0,0,0.4714,53.887,-1
1,2,1,1,7,110,1,1,0,0,0.36121,16.842,-1
1,2,1,1,8,211,2,1,1,0,0.7324,170.64,-1
1,2,1,1,9,221,2,2,1,0,0.5821,248.41,-1
1,2,1,1,10,121,1,2,1,0,0.4817,238.65,-1
1,2,1,1,11,120,1,2,0,0,0.31105,18.531,-1
1,2,1,1,12,221,2,2,1,0,0.34137,212.41,-1
1,2,1,1,13,111,1,1,1,0,0.55232,197.98,-1
1,2,1,1,14,220,2,2,0,0,0.5626,50.073,-1
1,2,1,1,15,110,1,1,0,0,0.72283,52.079,-1
1,2,1,1,16,210,2,1,0,0,0.30104,32.823,-1
1,2,1,2,1,120,1,2,0,0,0.76277,11.572,-1
1,2,1,2,2,210,2,1,0,0,0.42136,21.477,-1
1,2,1,2,3,120,1,2,0,0,0.25094,39.817,-1
1,2,1,2,4,221,2,2,1,0,0.40153,202.3,-1
1,2,1,2,5,220,2,2,0,0,0.27102,27.844,-1
1,2,1,2,6,121,1,2,1,1,0.44487,0,-1
1,2,1,2,7,210,2,1,0,0,0.54196,57.904,-1
1,2,1,2,8,221,2,2,1,0,0.58251,205.72,-1
1,2,1,2,9,211,2,1,1,0,0.45169,228.47,-1
